name,selling_price,km_driven,fuel,transmission,owner,mileage,engine,seats,year
Maruti Swift Dzire VDI,450000,145500,Diesel,Manual,First Owner,23.4 kmpl,1248 CC,5,2014
Skoda Rapid 1.5 TDI Ambition,370000,120000,Diesel,Manual,Second Owner,21.14 kmpl,1498 CC,5,2014
Honda City 2017-2020 EXi,158000,140000,Petrol,Manual,Third Owner,17.7 kmpl,1497 CC,5,2006
Hyundai i20 Sportz Diesel,225000,127000,Diesel,Manual,First Owner,23.0 kmpl,1396 CC,5,2010
Maruti Swift VXI BSIII,130000,120000,Petrol,Manual,First Owner,16.1 kmpl,1298 CC,5,2007
Hyundai Xcent 1.2 VTVT E Plus,440000,45000,Petrol,Manual,First Owner,20.14 kmpl,1197 CC,5,2017
Maruti Wagon R LXI DUO BSIII,96000,175000,LPG,Manual,First Owner,17.3 km/kg,1061 CC,5,2007
Maruti 800 DX BSII,45000,5000,Petrol,Manual,Second Owner,16.1 kmpl,796 CC,4,2001
Toyota Etios VXD,350000,90000,Diesel,Manual,First Owner,23.59 kmpl,1364 CC,5,2011
Ford Figo Diesel Celebration Edition,200000,169000,Diesel,Manual,First Owner,20.0 kmpl,1399 CC,5,2013
Renault Duster 110PS Diesel RxL,500000,68000,Diesel,Manual,Second Owner,19.01 kmpl,1461 CC,5,2014
Maruti Zen LX,92000,100000,Petrol,Manual,Second Owner,17.3 kmpl,993 CC,5,2005
Maruti Swift Dzire VDi,280000,140000,Diesel,Manual,Second Owner,19.3 kmpl,1248 CC,5,2009
Maruti Swift 1.3 VXi,200000,80000,Petrol,Manual,Second Owner,,,,2007
Maruti Wagon R LXI Minor,180000,90000,Petrol,Manual,Second Owner,18.9 kmpl,1061 CC,5,2009
Mahindra KUV 100 mFALCON G80 K8 5str,400000,40000,Petrol,Manual,First Owner,18.15 kmpl,1198 CC,5,2016
Maruti Ertiga SHVS VDI,778000,70000,Diesel,Manual,Second Owner,24.52 kmpl,1248 CC,7,2016
Hyundai i20 1.4 CRDi Asta,500000,53000,Diesel,Manual,Second Owner,23.0 kmpl,1396 CC,5,2012
Maruti Alto LX,150000,80000,Petrol,Manual,Second Owner,19.7 kmpl,796 CC,5,2002
Hyundai i20 2015-2017 Asta 1.4 CRDi,680000,100000,Diesel,Manual,First Owner,22.54 kmpl,1396 CC,5,2016
Mahindra Verito 1.5 D4 BSIII,174000,100000,Diesel,Manual,Second Owner,21.0 kmpl,1461 CC,5,2011
Honda WR-V i-DTEC VX,950000,50000,Diesel,Manual,First Owner,25.5 kmpl,1498 CC,5,2017
Maruti Swift Dzire ZDI,525000,40000,Diesel,Manual,First Owner,26.59 kmpl,1248 CC,5,2015
Maruti SX4 ZDI,600000,72000,Diesel,Manual,First Owner,21.5 kmpl,1248 CC,5,2012
Tata Tigor 2017-2020 XZ,500000,35000,Petrol,Manual,First Owner,20.3 kmpl,1199 CC,5,2018
Maruti Baleno Delta 1.2,575000,45000,Petrol,Manual,First Owner,21.4 kmpl,1197 CC,5,2016
Maruti Alto 800 LXI,275000,28000,Petrol,Manual,First Owner,24.7 kmpl,796 CC,5,2017
Chevrolet Enjoy TCDi LTZ 7 Seater,300000,70000,Diesel,Manual,First Owner,18.2 kmpl,1248 CC,7,2013
Maruti Wagon R LXI Minor,220000,120000,Petrol,Manual,First Owner,18.9 kmpl,1061 CC,5,2009
Maruti Omni E MPI STD BS IV,254999,25000,Petrol,Manual,First Owner,16.8 kmpl,796 CC,8,2018
Maruti Vitara Brezza LDi Option,670000,70000,Diesel,Manual,First Owner,24.3 kmpl,1248 CC,5,2017
Fiat Palio 1.2 ELX,70000,50000,Petrol,Manual,Second Owner,,,,2003
Maruti Omni 8 Seater BSIV,150000,35000,Petrol,Manual,Second Owner,14.0 kmpl,796 CC,5,2012
Hyundai i20 1.2 Asta Dual Tone,730000,2388,Petrol,Manual,First Owner,18.6 kmpl,1197 CC,5,2018
Maruti Vitara Brezza LDi,650000,16200,Diesel,Manual,First Owner,24.3 kmpl,1248 CC,5,2017
Maruti Alto 800 CNG LXI Optional,330000,10000,CNG,Manual,Second Owner,33.44 km/kg,796 CC,4,2019
Maruti Alto K10 VXI Airbag,366000,15000,Petrol,Manual,First Owner,23.95 kmpl,998 CC,5,2019
Hyundai Verna VTVT 1.6 SX Option,1149000,5000,Petrol,Manual,First Owner,17.0 kmpl,1591 CC,5,2019
Datsun GO D,150000,42000,Petrol,Manual,First Owner,20.63 kmpl,1198 CC,5,2016
Tata Safari DICOR 2.2 LX 4x2,425000,60000,Diesel,Manual,Second Owner,13.93 kmpl,2179 CC,7,2011
Maruti 800 Std,150000,76000,Petrol,Manual,First Owner,16.1 kmpl,796 CC,4,2012
Jeep Compass 1.4 Limited Plus BSIV,2100000,5000,Petrol,Automatic,First Owner,16.0 kmpl,1368 CC,5,2019
Honda City i VTEC VX,925000,28900,Petrol,Manual,First Owner,17.8 kmpl,1497 CC,5,2018
Honda City V MT,425000,86300,Petrol,Manual,First Owner,16.8 kmpl,1497 CC,5,2013
Maruti Swift Dzire VXi AT,675000,23300,Petrol,Automatic,First Owner,18.5 kmpl,1197 CC,5,2018
Maruti Vitara Brezza VDi,819999,32600,Diesel,Manual,First Owner,24.3 kmpl,1248 CC,5,2018
Maruti Alto K10 VXI,390000,10300,Petrol,Manual,First Owner,23.95 kmpl,998 CC,5,2018
Toyota Fortuner 4x4 MT,1500000,77000,Diesel,Manual,First Owner,12.55 kmpl,2982 CC,7,2014
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,700000,99000,Diesel,Manual,First Owner,12.99 kmpl,2494 CC,7,2013
Mercedes-Benz B Class B180,1450000,27800,Diesel,Automatic,Second Owner,14.8 kmpl,2143 CC,5,2014
Honda Amaze S Diesel,425000,49800,Diesel,Manual,First Owner,24.7 kmpl,1498 CC,5,2015
Mitsubishi Pajero Sport 4X4,1090000,151000,Diesel,Manual,First Owner,13.5 kmpl,2477 CC,7,2013
Honda City i DTEC S,600000,54700,Diesel,Manual,First Owner,26.0 kmpl,1498 CC,5,2015
Maruti Ciaz Zeta,850000,64000,Petrol,Manual,First Owner,20.65 kmpl,1462 CC,5,2018
Honda Jazz VX Diesel,525000,63000,Diesel,Manual,First Owner,27.3 kmpl,1498 CC,5,2015
Toyota Innova Crysta 2.8 ZX AT BSIV,1650000,127700,Diesel,Automatic,Second Owner,11.36 kmpl,2755 CC,7,2016
Toyota Innova 2.5 G (Diesel) 7 Seater,950000,99000,Diesel,Manual,First Owner,12.99 kmpl,2494 CC,7,2016
Audi A6 2.0 TDI Technology,1750000,33900,Diesel,Automatic,Second Owner,17.68 kmpl,1968 CC,5,2013
Toyota Corolla Altis 1.8 VL CVT,1590000,25000,Petrol,Automatic,First Owner,14.28 kmpl,1798 CC,5,2018
Audi A6 2.0 TDI  Design Edition,1689999,50000,Diesel,Automatic,First Owner,18.53 kmpl,1968 CC,5,2013
Mercedes-Benz New C-Class 220 CDI AT,1425000,59000,Diesel,Automatic,First Owner,14.84 kmpl,2143 CC,5,2013
Tata Manza ELAN Quadrajet BS IV,265000,120000,Diesel,Manual,First Owner,21.12 kmpl,1248 CC,5,2011
Hyundai i10 Magna,190000,110000,Petrol,Manual,Third Owner,20.36 kmpl,1197 CC,5,2011
